#{"t_start": 1678786935.527061, "env_id": "WGW-v0"}
reward,reward_nc,len,time,a_id,constraint
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
0.9,0.9,8,0.0,0,0
